anomaly,country,series,make,model_gen,generation,prev_year,year,prev_stock,stock,change
cohort_rise,GB,VEH0120,MAZDA,RX-8,SE3P,2003,2004,1820,10583,4.814835164835165
cohort_rise,GB,VEH0120,FERRARI,360,360,1999,2000,65,363,4.584615384615384
cohort_rise,GB,VEH0124,RENAULT,MEGANE RS,MK4,2018,2019,92,488,4.304347826086956
cohort_rise,GB,VEH0120,MASERATI,4200,M138,2001,2002,71,375,4.28169014084507
cohort_rise,GB,VEH0120,FERRARI,599,599,2006,2007,29,149,4.137931034482759
cohort_rise,GB,VEH0120,ASTON MARTIN,DB9,DB9,2004,2005,356,1649,3.632022471910112
cohort_rise,GB,VEH0120,MERCEDES-BENZ,SLR MCLAREN,C199,2004,2005,8,37,3.625
cohort_rise,GB,VEH0120,NISSAN,350Z,Z33,2003,2004,625,2777,3.4432
cohort_rise,GB,VEH0120,FERRARI,612,612,2004,2005,28,121,3.321428571428571
cohort_rise,GB,VEH0120,RENAULT,CLIO V6,MK2,2001,2002,52,205,2.9423076923076925
cohort_rise,GB,VEH0120,RENAULT,TWINGO RS,MK2,2008,2009,119,466,2.9159663865546217
cohort_rise,GB,VEH0120,AUDI,RS2,B4,1994,1995,38,145,2.8157894736842106
cohort_rise,GB,VEH0120,CITROEN,C2 VTS,A6,2003,2004,788,2986,2.7893401015228427
cohort_rise,GB,VEH0120,SMART,ROADSTER,452,2003,2004,1017,3763,2.7000983284169124
cohort_rise,GB,VEH0124,BMW,M3,F80,2014,2015,262,918,2.50381679389313
cohort_rise,GB,VEH0120,MASERATI,GRANTURISMO,M145,2007,2008,193,668,2.461139896373057
cohort_rise,GB,VEH0120,NISSAN,370Z,Z34,2009,2010,302,1013,2.3543046357615895
cohort_rise,GB,VEH0120,TVR,CERBERA,CERBERA,1996,1997,139,444,2.194244604316547
cohort_rise,GB,VEH0124,VOLKSWAGEN,POLO GTI,6C,2015,2016,1646,5257,2.1938031591737546
cohort_rise,GB,VEH0124,BMW,M5,F90,2018,2019,540,1699,2.1462962962962964
cohort_rise,GB,VEH0120,PEUGEOT,406 COUPE,MK1,1997,1998,1215,3726,2.066666666666667
cohort_rise,GB,VEH0120,FIAT,BARCHETTA,183,1996,1997,119,363,2.0504201680672267
cohort_rise,GB,VEH0120,HONDA,S2000,AP1_AP2,1999,2000,442,1281,1.8981900452488687
cohort_rise,GB,VEH0120,VOLVO,S60 R,P2,1997,1998,194,557,1.8711340206185567
cohort_rise,GB,VEH0120,MASERATI,3200 GT,338,1999,2000,144,407,1.8263888888888888
cohort_rise,GB,VEH0120,FERRARI,575M,575M,2002,2003,42,117,1.7857142857142856
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF R,MK7,2014,2015,3488,9588,1.7488532110091741
cohort_rise,GB,VEH0124,ASTON MARTIN,V8 VANTAGE,AM6,2018,2019,396,1088,1.7474747474747474
cohort_rise,GB,VEH0124,HONDA,CIVIC TYPE R,FK2,2015,2016,631,1706,1.7036450079239303
cohort_rise,GB,VEH0120,JAGUAR,F-TYPE,X152,2013,2014,1183,3188,1.694843617920541
cohort_rise,GB,VEH0120,PEUGEOT,206 GTI,MK1,1999,2000,2497,6686,1.6776131357629156
cohort_rise,GB,VEH0120,SUBARU,BRZ,ZC6,2012,2013,75,197,1.6266666666666665
cohort_rise,GB,VEH0120,VOLKSWAGEN,PHAETON,3D,2004,2005,219,559,1.5525114155251143
cohort_rise,GB,VEH0120,LOTUS,EVORA,122,2009,2010,101,256,1.5346534653465347
cohort_rise,GB,VEH0120,RENAULT,CLIO WILLIAMS,MK1,1994,1995,423,1071,1.5319148936170213
cohort_rise,GB,VEH0124,LANCIA,THEMA 8.32,Y9,2020,2021,2,5,1.5
cohort_rise,GB,VEH0120,LANCIA,THEMA 8.32,Y9,2020,2021,2,5,1.5
cohort_rise,GB,VEH0124,SEAT,LEON CUPRA,5F,2014,2015,521,1294,1.4836852207293667
cohort_rise,GB,VEH0120,FIAT,COUPE,175,1995,1996,801,1989,1.4831460674157304
cohort_rise,GB,VEH0120,PEUGEOT,RCZ,MK1,2010,2011,1923,4763,1.4768590743629746
cohort_rise,GB,VEH0120,FERRARI,458,458,2010,2011,126,308,1.4444444444444446
cohort_rise,GB,VEH0120,MERCEDES-BENZ,SLK,R172,2016,2017,2187,5342,1.442615454961134
cohort_rise,GB,VEH0124,BMW,8 SERIES,G15,2019,2020,1457,3547,1.4344543582704188
cohort_rise,GB,VEH0120,LEXUS,SC430,Z40,2001,2002,324,784,1.4197530864197532
cohort_rise,GB,VEH0120,VOLKSWAGEN,PHAETON,3D,2003,2004,92,219,1.3804347826086958
cohort_rise,GB,VEH0120,ALFA ROMEO,GT,937,2004,2005,1166,2749,1.357632933104631
cohort_rise,GB,VEH0120,CITROEN,SAXO VTS,S0,1997,1998,5626,13235,1.3524706718805546
cohort_rise,GB,VEH0120,ASTON MARTIN,DB7,DB7,1995,1996,172,404,1.3488372093023258
cohort_rise,GB,VEH0124,MINI,COOPER S,F56,2014,2015,5216,12142,1.3278374233128836
cohort_rise,GB,VEH0120,ALFA ROMEO,156,932,1998,1999,4779,11104,1.3234986398828208
cohort_rise,GB,VEH0120,FERRARI,CALIFORNIA,F149,2009,2010,177,409,1.310734463276836
cohort_rise,GB,VEH0124,OPEL,CORSA VXR,E,2015,2016,912,2101,1.3037280701754388
cohort_rise,GB,VEH0120,PEUGEOT,306 S16,MK1,1994,1995,2113,4765,1.2550875532418364
cohort_rise,GB,VEH0124,BMW,M3,G80,2021,2022,680,1521,1.236764705882353
cohort_rise,GB,VEH0120,FIAT,BARCHETTA,183,1997,1998,363,808,1.2258953168044076
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF R,MK8,2020,2021,1458,3237,1.2201646090534979
cohort_rise,GB,VEH0124,SUZUKI,SWIFT SPORT,ZC33,2018,2019,1004,2229,1.2201195219123506
cohort_rise,GB,VEH0120,OPEL,MONARO,V2,2004,2005,184,406,1.2065217391304346
cohort_rise,GB,VEH0120,MG,TF,TF,2002,2003,7223,15834,1.1921639208085284
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF GTI,MK8,2020,2021,2365,5170,1.1860465116279069
cohort_rise,GB,VEH0124,TOYOTA,SUPRA,A90,2019,2020,166,361,1.1746987951807228
cohort_rise,GB,VEH0120,TOYOTA,GT86,ZN6,2012,2013,1368,2967,1.168859649122807
cohort_rise,GB,VEH0124,AUDI,TT,8S,2015,2016,7539,16084,1.1334394482026795
cohort_rise,GB,VEH0120,FERRARI,458,458,2011,2012,308,657,1.133116883116883
cohort_rise,GB,VEH0120,FIAT,COUPE,175,1996,1997,1989,4227,1.1251885369532428
cohort_rise,GB,VEH0120,ALFA ROMEO,8C,8C,2008,2009,16,34,1.125
cohort_rise,GB,VEH0124,SKODA,OCTAVIA VRS,5E,2014,2015,3412,7217,1.115181711606096
cohort_rise,GB,VEH0120,ABARTH,500,312,2009,2010,1039,2182,1.1000962463907604
cohort_rise,GB,VEH0124,AUDI,S3,8V,2014,2015,3602,7546,1.0949472515269294
cohort_rise,GB,VEH0124,MAZDA,MX-5,ND,2016,2017,4087,8544,1.0905309517983852
cohort_rise,GB,VEH0120,BMW,Z8,E52,2000,2001,58,121,1.0862068965517242
cohort_rise,GB,VEH0124,FORD,FOCUS RS,MK3,2016,2017,2732,5677,1.07796486090776
cohort_rise,GB,VEH0120,MG,MGF,MGF,1996,1997,6442,13375,1.0762185656628378
cohort_rise,GB,VEH0124,FORD,FIESTA ST,MK8,2018,2019,23249,48228,1.074411802658179
cohort_rise,GB,VEH0124,PORSCHE,CAYMAN,982,2017,2018,1197,2483,1.0743525480367584
cohort_rise,GB,VEH0124,FORD,PUMA,MK2,2020,2021,25930,53702,1.0710374084072503
cohort_rise,GB,VEH0120,BMW,Z3,E36_7,1997,1998,4372,9044,1.0686184812442816
cohort_rise,GB,VEH0124,MASERATI,GHIBLI,M157,2014,2015,836,1713,1.049043062200957
cohort_rise,GB,VEH0120,SAAB,9-3 VIGGEN,MK1,1999,2000,141,287,1.0354609929078014
cohort_rise,GB,VEH0120,FERRARI,F430,F430,2005,2006,393,799,1.0330788804071247
cohort_rise,GB,VEH0120,FIAT,PUNTO GT,176,1994,1995,347,705,1.031700288184438
cohort_rise,GB,VEH0124,HONDA,CIVIC TYPE R,FK8,2017,2018,883,1789,1.0260475651189127
cohort_rise,GB,VEH0124,MERCEDES-BENZ,S-CLASS,W222,2014,2015,2195,4442,1.0236902050113894
cohort_rise,GB,VEH0124,AUDI,S8,D4,2014,2015,185,374,1.0216216216216214
cohort_rise,GB,VEH0124,AUDI,RS6,C7,2014,2015,637,1285,1.0172684458398744
cohort_rise,GB,VEH0120,VOLVO,850 R,854,1995,1996,355,711,1.0028169014084507
cohort_rise,GB,VEH0120,MAZDA,RX-8,SE3P,2000,2001,1,2,1.0
cohort_rise,GB,VEH0120,MAZDA,RX-8,SE3P,1998,1999,1,2,1.0
cohort_rise,GB,VEH0124,FORD,FOCUS ST,MK3,2014,2015,7541,15007,0.990054369447023
cohort_rise,GB,VEH0120,ALFA ROMEO,BRERA,939,2006,2007,742,1467,0.977088948787062
cohort_rise,GB,VEH0120,OPEL,VX220,VX220,2001,2002,378,745,0.9708994708994709
cohort_rise,GB,VEH0124,MASERATI,QUATTROPORTE,M156,2014,2015,183,357,0.9508196721311475
cohort_rise,GB,VEH0124,BMW,M3,F80,2015,2016,918,1782,0.9411764705882353
cohort_rise,GB,VEH0120,OPEL,VX220,VX220,2002,2003,745,1443,0.9369127516778524
cohort_rise,GB,VEH0124,FORD,FOCUS ST,MK3,2016,2017,23388,45189,0.9321446895844023
cohort_rise,GB,VEH0124,PORSCHE,BOXSTER,982,2017,2018,1057,2042,0.9318826868495742
cohort_rise,GB,VEH0124,PORSCHE,911,992,2020,2021,1915,3670,0.9164490861618799
cohort_rise,GB,VEH0124,SEAT,LEON CUPRA,5F,2015,2016,1294,2479,0.9157650695517774
cohort_rise,GB,VEH0124,BMW,M3,G80,2022,2023,1521,2910,0.9132149901380671
cohort_rise,GB,VEH0120,BMW,Z4 M,E85_86,2006,2007,487,925,0.8993839835728952
cohort_rise,GB,VEH0120,TVR,TUSCAN,TUSCAN,2000,2001,424,805,0.8985849056603774
cohort_rise,GB,VEH0120,ALFA ROMEO,147 GTA,937,2003,2004,165,306,0.8545454545454545
cohort_rise,GB,VEH0120,TVR,GRIFFITH,GRIFFITH,1994,1995,217,402,0.8525345622119815
cohort_rise,GB,VEH0124,TOYOTA,SUPRA,A90,2020,2021,361,661,0.8310249307479225
cohort_rise,GB,VEH0124,BMW,Z4,G29,2019,2020,1854,3355,0.8096008629989213
cohort_rise,GB,VEH0120,NISSAN,SUNNY GTI-R,N14,1997,1998,55,99,0.8
cohort_rise,GB,VEH0120,CITROEN,XSARA VTS,N0,1998,1999,1547,2784,0.7996121525533291
cohort_rise,GB,VEH0120,ALFA ROMEO,156,932,1999,2000,11104,19849,0.7875540345821326
cohort_rise,GB,VEH0120,MERCEDES-BENZ,SLS AMG,C197,2010,2011,181,322,0.7790055248618784
cohort_rise,GB,VEH0120,FERRARI,360,360,2000,2001,363,640,0.7630853994490359
cohort_rise,GB,VEH0120,PEUGEOT,208 GTI,MK1,2013,2014,979,1719,0.7558733401430031
cohort_rise,GB,VEH0120,MASERATI,4200,M138,2002,2003,375,657,0.752
cohort_rise,GB,VEH0120,PEUGEOT,306 GTI-6,MK2,1997,1998,1836,3208,0.747276688453159
cohort_rise,GB,VEH0124,AUDI,R8,4S,2016,2017,377,658,0.7453580901856764
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF GTI,MK1,2023,2024,636,1109,0.7437106918238994
cohort_rise,GB,VEH0124,FORD,FIESTA ST,MK7,2015,2016,17317,30100,0.7381763584916556
cohort_rise,GB,VEH0124,AUDI,RS6,C8,2020,2021,663,1150,0.7345399698340875
cohort_rise,GB,VEH0120,ASTON MARTIN,DB7,DB7,1996,1997,404,699,0.7301980198019802
cohort_rise,GB,VEH0124,SUBARU,IMPREZA WRX,VA,2014,2015,386,667,0.7279792746113989
cohort_rise,GB,VEH0124,AUDI,S4,B9,2017,2018,2023,3487,0.7236777063766684
cohort_rise,GB,VEH0120,TVR,CHIMAERA,CHIMAERA,1994,1995,727,1253,0.7235213204951858
cohort_rise,GB,VEH0120,BMW,Z3 M,E36_7,1998,1999,488,840,0.721311475409836
cohort_rise,GB,VEH0120,VOLKSWAGEN,LUPO GTI,6X,2001,2002,359,617,0.7186629526462396
cohort_rise,GB,VEH0120,RENAULT,TWINGO RS,MK2,2009,2010,466,800,0.7167381974248928
cohort_rise,GB,VEH0124,RENAULT,CLIO RS,MK4,2014,2015,574,980,0.7073170731707317
cohort_rise,GB,VEH0120,MASERATI,3200 GT,338,2000,2001,407,691,0.6977886977886978
cohort_rise,GB,VEH0120,PEUGEOT,208 GTI,MK1,2014,2015,1719,2905,0.6899360093077371
cohort_rise,GB,VEH0120,FERRARI,599,599,2007,2008,149,251,0.6845637583892616
cohort_rise,GB,VEH0124,FORD,FOCUS ST,MK4,2019,2020,23511,39602,0.6844030453830121
cohort_rise,GB,VEH0124,PEUGEOT,208 GTI,MK1,2014,2015,1757,2959,0.6841206602162777
cohort_rise,GB,VEH0120,NISSAN,350Z,Z33,2004,2005,2777,4663,0.6791501620453726
cohort_rise,GB,VEH0124,MINI,COOPER S,F56,2015,2016,12142,20271,0.6694943172459233
cohort_rise,GB,VEH0120,PORSCHE,CARRERA GT,980,2024,2025,18,30,0.6666666666666667
cohort_rise,GB,VEH0124,PORSCHE,911,992,2021,2022,3670,6104,0.6632152588555857
cohort_rise,GB,VEH0120,PEUGEOT,306 S16,MK1,1995,1996,4765,7901,0.6581322140608605
cohort_rise,GB,VEH0120,HONDA,S2000,AP1_AP2,2001,2002,1925,3170,0.6467532467532469
cohort_rise,GB,VEH0124,SKODA,OCTAVIA VRS,5E,2015,2016,7217,11840,0.6405708743245115
cohort_rise,GB,VEH0124,PORSCHE,CARRERA GT,980,2024,2025,19,31,0.631578947368421
cohort_rise,GB,VEH0120,MITSUBISHI,FTO,DE,2002,2003,227,370,0.6299559471365639
cohort_rise,GB,VEH0124,ALFA ROMEO,4C,960,2015,2016,185,301,0.6270270270270271
cohort_rise,GB,VEH0124,FORD,PUMA,MK2,2021,2022,53702,87291,0.6254701873300808
cohort_rise,GB,VEH0124,JAGUAR,F-TYPE,X152,2014,2015,3214,5208,0.6204107031736155
cohort_rise,GB,VEH0124,MERCEDES-BENZ,S-CLASS,W222,2015,2016,4442,7194,0.6195407474110761
cohort_rise,GB,VEH0120,JAGUAR,F-TYPE,X152,2014,2015,3188,5162,0.6191969887076536
cohort_rise,GB,VEH0124,AUDI,S8,D4,2015,2016,374,605,0.6176470588235294
cohort_rise,GB,VEH0124,PORSCHE,911,992,2022,2023,6104,9798,0.6051769331585846
cohort_rise,GB,VEH0120,ALFA ROMEO,4C,960,2015,2016,182,291,0.598901098901099
cohort_rise,GB,VEH0124,AUDI,S3,8V,2015,2016,7546,12056,0.597667638483965
cohort_rise,GB,VEH0120,CITROEN,C2 VTS,A6,2004,2005,2986,4757,0.5931011386470195
cohort_rise,GB,VEH0120,HONDA,CRX,ED9_EE8,1997,1998,731,1161,0.588235294117647
cohort_rise,GB,VEH0120,BMW,M3,E46,2003,2004,219,347,0.5844748858447488
cohort_rise,GB,VEH0124,AUDI,RS4,B9,2019,2020,819,1293,0.5787545787545787
cohort_rise,GB,VEH0124,PEUGEOT,309 GTI,MK1,2022,2023,52,82,0.5769230769230769
cohort_rise,GB,VEH0120,PEUGEOT,309 GTI,MK1,2022,2023,52,82,0.5769230769230769
cohort_rise,GB,VEH0124,AUDI,RS6,C7,2015,2016,1285,2025,0.5758754863813229
cohort_rise,GB,VEH0120,SUBARU,BRZ,ZC6,2013,2014,197,310,0.5736040609137056
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF R,MK7,2015,2016,9588,15083,0.5731122236128494
cohort_rise,GB,VEH0124,FORD,FIESTA ST,MK7,2014,2015,11061,17317,0.5655908145737276
cohort_rise,GB,VEH0124,FORD,FOCUS ST,MK3,2015,2016,15007,23388,0.5584727127340574
cohort_rise,GB,VEH0124,PORSCHE,911,991,2014,2015,2997,4662,0.5555555555555556
cohort_rise,GB,VEH0124,RENAULT,MEGANE RS,MK4,2019,2020,488,758,0.5532786885245902
cohort_rise,GB,VEH0120,BMW,Z3,E36_7,1998,1999,9044,14046,0.5530738611233967
cohort_rise,GB,VEH0120,FERRARI,458,458,2012,2013,657,1020,0.5525114155251141
cohort_rise,GB,VEH0124,FORD,PUMA,MK2,2022,2023,87291,135518,0.5524853650433608
cohort_rise,GB,VEH0120,CITROEN,SAXO VTS,S0,1998,1999,13235,20493,0.5483944087646393
cohort_rise,GB,VEH0120,FERRARI,F430,F430,2006,2007,799,1236,0.5469336670838547
cohort_rise,GB,VEH0120,TVR,CERBERA,CERBERA,1997,1998,444,685,0.5427927927927927
cohort_rise,GB,VEH0120,VOLKSWAGEN,PHAETON,3D,2005,2006,559,861,0.5402504472271914
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF R,MK8,2022,2023,4128,6357,0.5399709302325582
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF GTI,MK7,2014,2015,5075,7770,0.5310344827586206
cohort_rise,GB,VEH0124,SUBARU,IMPREZA WRX,VA,2015,2016,667,1019,0.527736131934033
cohort_rise,GB,VEH0120,ALFA ROMEO,156,932,2000,2001,19849,30178,0.5203788603959898
cohort_rise,GB,VEH0120,TVR,GRIFFITH,GRIFFITH,1995,1996,402,611,0.5199004975124377
cohort_rise,GB,VEH0120,LOTUS,EVORA,122,2010,2011,256,389,0.51953125
cohort_rise,GB,VEH0120,MG,MGF,MGF,1997,1998,13375,20307,0.5182803738317756
cohort_rise,GB,VEH0120,ALFA ROMEO,4C,960,2014,2015,120,182,0.5166666666666666
cohort_rise,GB,VEH0124,ALFA ROMEO,4C,960,2014,2015,122,185,0.5163934426229508
cohort_rise,GB,VEH0124,MASERATI,GHIBLI,M157,2015,2016,1713,2597,0.5160537069468769
cohort_rise,GB,VEH0124,BMW,M3,F80,2016,2017,1782,2700,0.5151515151515151
cohort_rise,GB,VEH0120,PEUGEOT,406 COUPE,MK1,1998,1999,3726,5623,0.5091250670960816
cohort_rise,GB,VEH0124,FORD,FIESTA ST,MK7,2016,2017,30100,45421,0.5090033222591361
cohort_rise,GB,VEH0124,MERCEDES-BENZ,S-CLASS,W223,2021,2022,796,1199,0.506281407035176
cohort_rise,GB,VEH0120,BMW,135I,E82,2008,2009,506,762,0.5059288537549407
cohort_rise,GB,VEH0124,BMW,M3,G80,2023,2024,2910,4376,0.5037800687285223
cohort_rise,GB,VEH0120,HONDA,S2000,AP1_AP2,2000,2001,1281,1925,0.5027322404371584
cohort_rise,GB,VEH0120,ALFA ROMEO,155,167,1994,1995,1589,2387,0.5022026431718061
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF GTI,MK7,2015,2016,7770,11659,0.5005148005148006
cohort_rise,GB,VEH0120,PORSCHE,CARRERA GT,980,2004,2005,24,36,0.5
cohort_rise,GB,VEH0120,LANCIA,THEMA 8.32,Y9,2011,2012,6,9,0.5
cohort_rise,GB,VEH0124,SEAT,LEON CUPRA,5F,2018,2019,4841,7250,0.49762445775666175
cohort_rise,GB,VEH0124,ASTON MARTIN,VANQUISH,II,2014,2015,370,554,0.4972972972972973
cohort_rise,GB,VEH0124,MAZDA,MX-5,ND,2017,2018,8544,12724,0.48923220973782766
cohort_rise,GB,VEH0120,FIAT,PUNTO GT,176,1995,1996,705,1049,0.48794326241134756
cohort_rise,GB,VEH0120,MERCEDES-BENZ,C55 AMG,W203,2004,2005,76,113,0.48684210526315796
cohort_rise,GB,VEH0120,LEXUS,SC430,Z40,2002,2003,784,1162,0.4821428571428572
cohort_rise,GB,VEH0120,PEUGEOT,RCZ,MK1,2011,2012,4763,7057,0.48162922527818597
cohort_rise,GB,VEH0120,TVR,CHIMAERA,CHIMAERA,1995,1996,1253,1854,0.47964884277733444
cohort_rise,GB,VEH0120,OPEL,MONARO,V2,2005,2006,406,596,0.46798029556650245
cohort_rise,GB,VEH0124,FORD,FOCUS ST,MK3,2017,2018,45189,66287,0.4668835336033106
cohort_rise,GB,VEH0124,ALFA ROMEO,GTV,116,2023,2024,30,44,0.46666666666666656
cohort_rise,GB,VEH0124,BMW,8 SERIES,G15,2020,2021,3547,5189,0.46292641669016077
cohort_rise,GB,VEH0120,CITROEN,DS3 RACING,A55,2011,2012,93,136,0.4623655913978495
cohort_rise,GB,VEH0124,MINI,COOPER S,F56,2016,2017,20271,29629,0.46164471412362484
cohort_rise,GB,VEH0120,LANCIA,THEMA 8.32,Y9,2003,2004,13,19,0.46153846153846145
cohort_rise,GB,VEH0120,VOLVO,S60 R,P2,2002,2003,739,1079,0.46008119079837617
cohort_rise,GB,VEH0124,VOLKSWAGEN,GOLF GTI,MK7,2016,2017,11659,17021,0.4599022214598165
cohort_rise,GB,VEH0120,MITSUBISHI,3000GT,Z16A,1996,1997,357,521,0.4593837535014005
cohort_rise,GB,VEH0120,ASTON MARTIN,DB9,DB9,2005,2006,1649,2401,0.4560339599757428
cohort_rise,GB,VEH0124,PORSCHE,CAYMAN,982,2018,2019,2483,3615,0.4559001208215867
cohort_rise,GB,VEH0124,NISSAN,SUNNY GTI-R,N14,2024,2025,11,16,0.4545454545454546
cohort_rise,GB,VEH0120,NISSAN,SUNNY GTI-R,N14,2024,2025,11,16,0.4545454545454546
cohort_rise,GB,VEH0120,MASERATI,4200,M138,2003,2004,657,955,0.45357686453576873
cohort_rise,GB,VEH0124,PORSCHE,CAYMAN,981,2014,2015,2444,3545,0.4504909983633387
cohort_rise,GB,VEH0120,LANCIA,THEMA 8.32,Y9,1996,1997,9,13,0.4444444444444444
cohort_rise,GB,VEH0120,MAZDA,RX-8,SE3P,2004,2005,10583,15225,0.43862798828309546
cohort_rise,GB,VEH0120,SUBARU,BRZ,ZC6,2014,2015,310,445,0.435483870967742
cohort_rise,GB,VEH0120,RENAULT,AVANTIME,MK1,2003,2004,271,389,0.43542435424354253
cohort_rise,GB,VEH0120,OPEL,MONARO,V2,2006,2007,596,854,0.43288590604026855
cohort_rise,GB,VEH0124,AUDI,R8,4S,2017,2018,658,941,0.4300911854103344
cohort_rise,GB,VEH0120,PEUGEOT,306 GTI-6,MK2,1998,1999,3208,4571,0.42487531172069826
cohort_rise,GB,VEH0124,PORSCHE,BOXSTER,982,2018,2019,2042,2909,0.4245837414299707
cohort_rise,GB,VEH0124,SUBARU,BRZ,ZC6,2014,2015,320,455,0.421875
cohort_rise,GB,VEH0120,SMART,ROADSTER,452,2004,2005,3763,5339,0.41881477544512347
cohort_rise,GB,VEH0120,FERRARI,360,360,2001,2002,640,908,0.41874999999999996
cohort_rise,GB,VEH0120,ABARTH,500,312,2010,2011,2182,3094,0.4179651695692026
cohort_rise,GB,VEH0120,MG,TF,TF,2003,2004,15834,22449,0.4177718832891246
cohort_rise,GB,VEH0124,AUDI,RS4,B9,2018,2019,578,819,0.4169550173010381
cohort_rise,GB,VEH0124,VOLKSWAGEN,POLO GTI,AW,2019,2020,4124,5836,0.4151309408341417
cohort_rise,GB,VEH0120,RENAULT,CLIO V6,MK2,2003,2004,283,400,0.4134275618374559
cohort_rise,GB,VEH0124,SEAT,LEON CUPRA,5F,2017,2018,3426,4841,0.4130180969060129
cohort_rise,GB,VEH0124,MERCEDES-BENZ,S-CLASS,W223,2022,2023,1199,1693,0.41201000834028356
cohort_rise,GB,VEH0124,PORSCHE,BOXSTER,981,2014,2015,2510,3544,0.41195219123505966
cohort_rise,GB,VEH0120,ALFA ROMEO,155,167,1995,1996,2387,3367,0.4105571847507332
cohort_rise,GB,VEH0120,ALFA ROMEO,BRERA,939,2007,2008,1467,2068,0.40967961826857535
cohort_rise,GB,VEH0124,AUDI,S3,8V,2016,2017,12056,16975,0.40801260783012605
cohort_rise,GB,VEH0120,CITROEN,SAXO VTS,S0,1999,2000,20493,28843,0.40745620455765375
cohort_rise,GB,VEH0124,HONDA,CIVIC TYPE R,FK8,2018,2019,1789,2513,0.4046953605366126
cohort_rise,GB,VEH0124,LOTUS,EXIGE,S3,2014,2015,188,264,0.4042553191489362
cohort_rise,GB,VEH0124,JAGUAR,F-TYPE,X152,2015,2016,5208,7309,0.4034178187403994
cohort_rise,GB,VEH0120,JAGUAR,F-TYPE,X152,2015,2016,5162,7240,0.402557148392096
cohort_rise,GB,VEH0124,SUZUKI,SWIFT SPORT,ZC32,2014,2015,3371,4710,0.39721150993770404
cohort_rise,GB,VEH0124,PORSCHE,911,991,2015,2016,4662,6502,0.39468039468039473
cohort_rise,GB,VEH0120,LEXUS,IS-F,XE20,2008,2009,104,145,0.39423076923076916
cohort_rise,GB,VEH0124,LOTUS,EXIGE,S3,2015,2016,264,368,0.39393939393939403
cohort_rise,GB,VEH0120,NISSAN,SUNNY GTI-R,N14,1998,1999,99,138,0.39393939393939403
cohort_rise,GB,VEH0120,FIAT,COUPE,175,1997,1998,4227,5884,0.3920037851904423
cohort_rise,GB,VEH0120,ALFA ROMEO,GT,937,2005,2006,2749,3814,0.38741360494725363
cohort_rise,GB,VEH0124,ALFA ROMEO,GTV,116,2024,2025,44,61,0.38636363636363646
